Crude birth rate by birth order
Last modified: 25/09/2014
Code Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
HUN  1995    10.85     4.69     3.72     1.57     0.49     0.39
HUN  1996    10.21     4.55     3.42     1.37     0.47     0.40
HUN  1997     9.75     4.33     3.19     1.35     0.47     0.41
HUN  1998     9.48     4.24     3.13     1.29     0.44     0.38
HUN  1999     9.25     4.18     3.00     1.27     0.43     0.37
HUN  2000     9.56     4.31     3.09     1.32     0.45     0.39
HUN  2001     9.53     4.23     3.04     1.39     0.46     0.40
HUN  2002     9.53     4.30     3.06     1.32     0.46     0.39
HUN  2003     9.34     4.24     3.01     1.28     0.44     0.37
HUN  2004     9.41     4.40     2.99     1.24     0.42     0.36
HUN  2005     9.67     4.50     3.11     1.26     0.43     0.37
HUN  2006     9.92     4.55     3.27     1.29     0.44     0.36
HUN  2007     9.71     4.50     3.19     1.24     0.41     0.36
HUN  2008     9.88     4.59     3.22     1.25     0.44     0.37
HUN  2009     9.62     4.49     3.19     1.18     0.41     0.35
ISL  1990    18.71     6.75     5.78     4.14     1.57     0.46
ISL  1991    17.58     6.31     5.40     3.90     1.50     0.47
ISL  1992    17.65     6.44     5.48     3.85     1.39     0.49
ISL  1993    17.52     6.13     5.76     3.75     1.41     0.49
ISL  1994    16.70     5.99     5.27     3.80     1.21     0.42
ISL  1995    16.00     5.92     4.97     3.65     1.08     0.39
ISL  1996    16.10     5.71     5.52     3.32     1.17     0.37
ISL  1997    15.31     5.98     4.88     3.05     1.10     0.30
ISL  1998    15.24     5.84     5.11     2.90     1.05     0.35
ISL  1999    14.78     5.76     4.92     2.87     0.93     0.30
ISL  2000    15.34     6.30     4.91     2.96     0.94     0.23
ISL  2001    14.35     5.90     4.62     2.74     0.85     0.25
ISL  2002    14.08     5.49     5.01     2.52     0.84     0.22
ISL  2003    14.31     5.75     4.96     2.64     0.74     0.23
ISL  2004    14.49     5.55     5.24     2.79     0.74     0.17
ISL  2005    14.42     5.61     5.20     2.69     0.69     0.23
ISL  2006    14.53     5.87     5.06     2.74     0.65     0.22
ISL  2007    14.64     5.89     5.12     2.72     0.73     0.18
ISL  2008    15.23     6.10     5.31     2.86     0.76     0.20
ISL  2009    15.78     6.29     5.34     3.12     0.84     0.18
ISL  2010    15.43     6.01     5.14     3.29     0.83     0.16
JPN  1968    18.63     8.60     7.32     2.15     0.39     0.17
JPN  1969    18.58     8.41     7.32     2.31     0.39     0.16
JPN  1970    18.80     8.55     7.33     2.39     0.39     0.15
JPN  1971    19.21     8.65     7.50     2.51     0.40     0.14
JPN  1972    19.30     8.86     7.35     2.54     0.40     0.14
JPN  1973    19.35     8.79     7.36     2.62     0.42     0.15
JPN  1974    18.52     8.45     7.16     2.41     0.38     0.13
JPN  1975    17.14     7.77     6.92     2.02     0.31     0.12
JPN  1976    16.34     7.17     6.80     1.97     0.29     0.11
JPN  1977    15.50     6.59     6.56     1.98     0.28     0.10
JPN  1978    14.95     6.22     6.35     2.02     0.27     0.09
JPN  1979    14.25     5.94     5.95     2.02     0.26     0.08
JPN  1980    13.57     5.75     5.53     1.96     0.26     0.08
JPN  1981    13.07     5.61     5.22     1.91     0.26     0.08
JPN  1982    12.86     5.51     5.10     1.91     0.27     0.08
JPN  1983    12.72     5.47     4.97     1.92     0.27     0.08
JPN  1984    12.48     5.31     4.87     1.93     0.28     0.08
JPN  1985    11.92     5.01     4.69     1.88     0.27     0.07
JPN  1986    11.45     4.85     4.47     1.80     0.27     0.07
JPN  1987    11.10     4.70     4.32     1.76     0.26     0.07
JPN  1988    10.79     4.55     4.18     1.73     0.26     0.06
JPN  1989    10.20     4.38     3.89     1.63     0.25     0.06
JPN  1990     9.96     4.34     3.75     1.57     0.25     0.06
JPN  1991     9.95     4.49     3.66     1.50     0.24     0.06
JPN  1992     9.80     4.51     3.58     1.42     0.23     0.06
JPN  1993     9.61     4.51     3.49     1.34     0.22     0.05
JPN  1994     9.98     4.75     3.60     1.34     0.23     0.06
JPN  1995     9.55     4.56     3.45     1.26     0.22     0.06
JPN  1996     9.68     4.61     3.57     1.24     0.21     0.06
JPN  1997     9.54     4.58     3.50     1.20     0.21     0.05
JPN  1998     9.61     4.66     3.51     1.18     0.20     0.05
JPN  1999     9.39     4.62     3.41     1.12     0.19     0.05
JPN  2000     9.49     4.65     3.47     1.12     0.20     0.05
JPN  2001     9.31     4.56     3.41     1.10     0.19     0.05
JPN  2002     9.16     4.54     3.34     1.04     0.18     0.05
JPN  2003     8.91     4.34     3.32     1.02     0.18     0.05
JPN  2004     8.81     4.26     3.31     1.00     0.18     0.05
JPN  2005     8.43     4.07     3.17     0.97     0.17     0.05
JPN  2006     8.67     4.16     3.24     1.03     0.18     0.05
JPN  2007     8.64     4.12     3.20     1.07     0.19     0.06
JPN  2008     8.66     4.11     3.19     1.09     0.20     0.06
JPN  2009     8.50     4.07     3.10     1.07     0.20     0.06
LTU  1970    17.69     8.03     5.71     2.15     0.90     0.90
LTU  1971    17.66     7.96     5.86     2.12     0.86     0.86
LTU  1972    17.02     7.61     5.74     2.06     0.82     0.79
LTU  1973    16.03     7.21     5.48     1.88     0.73     0.74
LTU  1974    15.88     7.19     5.49     1.78     0.71     0.71
LTU  1975    15.69     7.16     5.42     1.78     0.66     0.67
LTU  1976    15.71     7.19     5.47     1.73     0.67     0.66
LTU  1977    15.54     7.19     5.41     1.73     0.60     0.61
LTU  1978    15.32     7.31     5.28     1.57     0.58     0.58
LTU  1979    15.24     7.35     5.25     1.52     0.56     0.55
LTU  1980    15.09     7.44     5.17     1.46     0.51     0.51
LTU  1981    15.13     7.43     5.24     1.47     0.50     0.49
LTU  1982    15.28     7.38     5.32     1.57     0.52     0.49
LTU  1983    16.43     7.63     6.11     1.65     0.55     0.50
LTU  1984    16.29     7.66     5.93     1.68     0.54     0.49
LTU  1985    16.41     7.81     5.99     1.66     0.50     0.44
LTU  1986    16.61     7.75     6.19     1.72     0.51     0.45
LTU  1987    16.36     7.72     6.02     1.68     0.52     0.41
LTU  1988    15.50     7.40     5.74     1.54     0.44     0.38
LTU  1989    15.14     7.31     5.53     1.51     0.44     0.35
LTU  1990    15.38     7.37     5.57     1.66     0.46     0.32
LTU  1991    15.13     7.51     5.26     1.60     0.44     0.32
LTU  1992    14.71     7.34     5.05     1.57     0.45     0.31
LTU  1993    12.89     6.43     4.48     1.31     0.39     0.28
LTU  1994    11.59     5.85     3.97     1.15     0.37     0.25
LTU  1995    11.36     5.70     3.93     1.10     0.36     0.27
LTU  1996    10.85     5.34     3.82     1.08     0.33     0.28
LTU  1997    10.58     5.11     3.74     1.09     0.35     0.29
LTU  1998    10.43     4.85     3.75     1.14     0.38     0.31
LTU  1999    10.34     4.80     3.61     1.20     0.40     0.32
LTU  2000     9.75     4.57     3.33     1.14     0.39     0.32
LTU  2001     8.98     4.22     3.08     1.00     0.36     0.32
LTU  2002     8.58     4.16     2.90     0.90     0.32     0.30
LTU  2003     8.78     4.27     2.92     0.95     0.32     0.30
LTU  2004     8.82     4.39     2.93     0.90     0.31     0.29
LTU  2005     8.88     4.35     3.03     0.91     0.31     0.29
LTU  2006     9.06     4.57     3.08     0.87     0.25     0.28
LTU  2007     9.29     4.79     3.13     0.89     0.27     0.22
LTU  2008     9.86     5.03     3.43     0.92     0.25     0.23
LTU  2009    10.17     5.02     3.65     1.01     0.25     0.23
LTU  2010     9.91     4.62     3.77     1.04     0.26     0.22
LTU  2011    10.00     4.65     3.82     1.06     0.27     0.20
NLD  1950    22.71     6.17     5.58     3.87     2.48     4.61
NLD  1951    22.25     6.26     5.35     3.75     2.45     4.44
NLD  1952    22.33     6.55     5.30     3.67     2.44     4.38
NLD  1953    21.72     6.28     5.30     3.59     2.35     4.20
NLD  1954    21.49     6.26     5.34     3.52     2.27     4.10
NLD  1955    21.32     6.37     5.27     3.52     2.25     3.91
NLD  1956    21.26     6.44     5.33     3.43     2.19     3.86
NLD  1957    21.21     6.58     5.39     3.43     2.13     3.68
NLD  1958    21.17     6.69     5.44     3.40     2.09     3.55
NLD  1959    21.37     6.73     5.68     3.44     2.06     3.45
NLD  1960    20.82     6.48     5.64     3.46     1.98     3.25
NLD  1961    21.25     6.66     5.77     3.59     2.06     3.17
NLD  1962    20.85     6.70     5.67     3.52     1.99     2.97
NLD  1963    20.88     6.75     5.78     3.53     1.99     2.83
NLD  1964    20.69     6.89     5.78     3.52     1.93     2.57
NLD  1965    19.94     7.04     5.68     3.29     1.74     2.19
NLD  1966    19.23     7.18     5.66     3.07     1.54     1.80
NLD  1967    18.94     7.41     5.72     2.89     1.39     1.53
NLD  1968    18.62     7.40     5.84     2.79     1.29     1.32
NLD  1969    19.22     7.51     6.23     2.96     1.27     1.25
NLD  1970    18.32     7.14     6.14     2.83     1.14     1.07
NLD  1971    17.21     6.95     5.90     2.53     0.98     0.85
NLD  1972    16.06     6.78     5.74     2.14     0.77     0.63
NLD  1973    14.50     6.28     5.43     1.73     0.58     0.48
NLD  1974    13.73     5.99     5.36     1.55     0.47     0.37
NLD  1975    13.01     5.71     5.15     1.42     0.42     0.32
NLD  1976    12.86     5.55     5.14     1.46     0.40     0.30
NLD  1977    12.51     5.34     5.00     1.48     0.40     0.29
NLD  1978    12.59     5.38     4.97     1.57     0.40     0.28
NLD  1979    12.47     5.41     4.74     1.62     0.42     0.28
NLD  1980    12.82     5.52     4.75     1.77     0.46     0.31
NLD  1981    12.54     5.36     4.60     1.77     0.49     0.32
NLD  1982    12.02     5.13     4.37     1.70     0.49     0.33
NLD  1983    11.85     5.19     4.22     1.63     0.47     0.33
NLD  1984    12.09     5.41     4.21     1.65     0.48     0.33
NLD  1985    12.29     5.41     4.36     1.69     0.50     0.34
NLD  1986    12.66     5.52     4.54     1.75     0.50     0.35
NLD  1987    12.73     5.57     4.54     1.75     0.51     0.35
NLD  1988    12.65     5.64     4.42     1.73     0.50     0.35
NLD  1989    12.73     5.64     4.47     1.77     0.52     0.34
NLD  1990    13.24     5.97     4.56     1.84     0.52     0.35
NLD  1991    13.18     5.97     4.57     1.79     0.51     0.34
NLD  1992    12.96     5.74     4.59     1.78     0.52     0.33
NLD  1993    12.80     5.68     4.59     1.73     0.50     0.30
NLD  1994    12.72     5.66     4.54     1.73     0.49     0.30
NLD  1995    12.33     5.50     4.50     1.61     0.45     0.26
NLD  1996    12.21     5.53     4.40     1.59     0.44     0.26
NLD  1997    12.33     5.72     4.37     1.55     0.44     0.25
NLD  1998    12.70     5.98     4.45     1.59     0.43     0.25
NLD  1999    12.68     5.93     4.51     1.57     0.45     0.21
NLD  2000    12.98     6.03     4.65     1.61     0.50     0.19
NLD  2001    12.63     5.84     4.58     1.55     0.42     0.23
NLD  2002    12.52     5.71     4.61     1.57     0.42     0.21
NLD  2003    12.35     5.62     4.56     1.56     0.40     0.21
NLD  2004    11.92     5.43     4.39     1.51     0.39     0.20
NLD  2005    11.52     5.20     4.27     1.47     0.38     0.19
NLD  2006    11.32     5.07     4.23     1.45     0.38     0.19
NLD  2007    11.07     5.00     4.08     1.43     0.38     0.18
NLD  2008    11.23     5.07     4.14     1.46     0.38     0.18
NLD  2009    11.19     5.16     4.04     1.44     0.38     0.17
NOR  1967    17.47     6.51     5.37     3.24     1.48     0.88
NOR  1968    17.65     6.88     5.37     3.16     1.40     0.83
NOR  1969    17.60     6.84     5.46     3.11     1.37     0.83
NOR  1970    16.66     6.69     5.24     2.84     1.19     0.69
NOR  1971    16.79     6.90     5.35     2.78     1.13     0.63
NOR  1972    16.34     6.78     5.41     2.59     1.01     0.55
NOR  1973    15.45     6.46     5.24     2.42     0.87     0.47
NOR  1974    14.96     6.29     5.25     2.26     0.75     0.40
NOR  1975    14.06     6.03     5.05     2.02     0.63     0.33
NOR  1976    13.29     5.75     4.77     1.90     0.57     0.30
NOR  1977    12.59     5.39     4.65     1.80     0.50     0.25
NOR  1978    12.76     5.35     4.79     1.88     0.51     0.23
NOR  1979    12.67     5.27     4.72     1.93     0.53     0.23
NOR  1980    12.50     5.24     4.66     1.89     0.51     0.21
NOR  1981    12.38     5.23     4.50     1.92     0.52     0.21
NOR  1982    12.46     5.24     4.50     1.99     0.52     0.22
NOR  1983    12.11     5.06     4.34     1.98     0.52     0.21
NOR  1984    12.15     5.15     4.36     1.93     0.51     0.21
NOR  1985    12.32     5.35     4.31     1.94     0.52     0.21
NOR  1986    12.61     5.59     4.39     1.95     0.50     0.19
NOR  1987    12.91     5.59     4.62     2.01     0.50     0.20
NOR  1988    13.67     6.01     4.77     2.15     0.54     0.20
NOR  1989    14.04     6.09     4.90     2.29     0.56     0.20
NOR  1990    14.37     6.15     5.01     2.39     0.59     0.22
NOR  1991    14.27     6.11     4.90     2.40     0.63     0.22
NOR  1992    14.02     5.87     4.95     2.34     0.62     0.24
NOR  1993    13.84     5.68     4.95     2.32     0.66     0.23
NOR  1994    13.86     5.61     5.04     2.33     0.64     0.24
NOR  1995    13.83     5.57     5.04     2.37     0.60     0.24
NOR  1996    13.90     5.58     5.05     2.43     0.62     0.23
NOR  1997    13.57     5.39     4.92     2.41     0.62     0.24
NOR  1998    13.17     5.30     4.76     2.30     0.59     0.23
NOR  1999    13.29     5.36     4.76     2.32     0.62     0.24
NOR  2000    13.19     5.31     4.73     2.29     0.61     0.24
NOR  2001    12.56     5.09     4.55     2.13     0.56     0.23
NOR  2002    12.21     4.98     4.49     1.99     0.53     0.22
NOR  2003    12.37     5.10     4.48     2.04     0.53     0.23
NOR  2004    12.40     5.18     4.46     2.02     0.53     0.21
NOR  2005    12.27     5.11     4.45     1.98     0.52     0.21
NOR  2006    12.56     5.31     4.59     1.94     0.51     0.22
NOR  2007    12.41     5.23     4.50     1.97     0.51     0.20
NOR  2008    12.69     5.51     4.49     1.96     0.51     0.22
NOR  2009    12.80     5.54     4.59     1.95     0.50     0.21
PRT  1959    24.08     8.00     4.95     3.43     2.32     5.38
PRT  1960    24.08     8.12     5.05     3.30     2.29     5.34
PRT  1961    24.45     8.03     5.12     3.37     2.37     5.56
PRT  1962    24.73     8.07     5.28     3.40     2.32     5.66
PRT  1963    23.82     7.47     5.22     3.41     2.27     5.45
PRT  1964    24.39     7.64     5.24     3.43     2.48     5.60
PRT  1965    23.63     7.63     5.09     3.29     2.25     5.37
PRT  1966    23.30     7.39     5.18     3.20     2.21     5.32
PRT  1967    22.82     7.51     5.13     3.00     2.07     5.11
PRT  1968    22.10     7.45     5.03     2.87     1.91     4.85
PRT  1969    21.64     7.33     5.08     2.80     1.81     4.63
PRT  1970    20.81     7.34     4.99     2.63     1.68     4.17
PRT  1971    20.83     7.55     5.13     2.62     1.58     3.94
PRT  1972    19.78     7.39     4.97     2.46     1.45     3.52
PRT  1973    19.24     7.24     4.87     2.42     1.40     3.30
PRT  1974    18.94     7.39     4.90     2.34     1.31     3.00
PRT  1975    19.52     8.06     5.29     2.28     1.20     2.69
PRT  1976    20.01     9.39     5.10     2.13     1.11     2.28
PRT  1977    19.14     9.07     5.23     1.95     0.97     1.92
PRT  1978    17.48     8.11     5.14     1.80     0.85     1.58
PRT  1979    16.55     7.38     5.21     1.79     0.82     1.35
PRT  1980    16.18     7.35     5.06     1.77     0.78     1.22
PRT  1981    15.43     6.83     5.04     1.74     0.74     1.08
PRT  1982    15.25     6.87     4.95     1.73     0.72     0.97
PRT  1983    14.51     6.61     4.67     1.66     0.68     0.90
PRT  1984    14.31     6.63     4.54     1.64     0.68     0.82
PRT  1985    13.05     6.13     4.08     1.49     0.61     0.73
PRT  1986    12.66     6.04     3.97     1.40     0.59     0.67
PRT  1987    12.29     5.91     3.89     1.34     0.55     0.61
PRT  1988    12.18     6.08     3.83     1.24     0.50     0.53
PRT  1989    11.83     6.03     3.67     1.17     0.46     0.49
PRT  1990    11.62     5.97     3.68     1.13     0.42     0.42
PRT  1991    11.65     6.03     3.72     1.11     0.40     0.39
PRT  1992    11.52     6.00     3.70     1.08     0.38     0.36
PRT  1993    11.41     6.04     3.64     1.04     0.37     0.32
PRT  1994    10.90     5.77     3.47     1.01     0.36     0.30
PRT  1995    10.66     5.63     3.44     0.98     0.32     0.29
PRT  1996    10.93     5.76     3.60     0.99     0.32     0.26
PRT  1997    11.15     5.86     3.72     1.01     0.32     0.24
PRT  1998    11.14     5.82     3.78     1.02     0.30     0.22
PRT  1999    11.34     6.14     3.75     0.98     0.28     0.18
PRT  2000    11.65     6.34     3.88     0.99     0.27     0.17
PRT  2001    10.87     5.78     3.72     0.95     0.26     0.16
PRT  2002    10.97     5.95     3.67     0.94     0.26     0.16
PRT  2003    10.75     5.83     3.60     0.93     0.26     0.13
PRT  2004    10.41     5.56     3.52     0.93     0.26     0.14
PRT  2005    10.40     5.58     3.57     0.91     0.23     0.12
PRT  2006    10.01     5.36     3.46     0.85     0.22     0.11
PRT  2007     9.71     5.18     3.40     0.83     0.22     0.08
PRT  2008     9.90     5.24     3.47     0.87     0.22     0.10
PRT  2009     9.41     5.05     3.29     0.80     0.20     0.07
PRT  2010     9.59     5.07     3.39     0.84     0.20     0.09
PRT  2011     9.17     4.87     3.24     0.79     0.19     0.09
PRT  2012     8.55     4.65     2.91     0.74     0.18     0.08
RUS  1959    23.61     9.91     6.60     3.19     1.69     2.21
RUS  1960    23.16     9.58     6.61     3.18     1.65     2.15
RUS  1961    21.86     9.31     6.24     2.88     1.47     1.96
RUS  1962    20.14     8.48     5.87     2.64     1.35     1.81
RUS  1963    18.72     7.67     5.63     2.49     1.23     1.69
RUS  1964    16.88     6.96     5.11     2.16     1.09     1.55
RUS  1965    15.71     6.38     4.80     2.02     1.03     1.48
RUS  1966    15.34     6.31     4.71     1.91     0.97     1.44
RUS  1967    14.42     6.18     4.40     1.69     0.85     1.30
RUS  1968    14.07     6.30     4.22     1.55     0.78     1.23
RUS  1969    14.24     6.72     4.29     1.45     0.70     1.09
RUS  1970    14.61     7.44     4.19     1.37     0.61     0.99
RUS  1971    15.08     7.87     4.38     1.34     0.59     0.89
RUS  1972    15.30     8.04     4.57     1.30     0.54     0.84
RUS  1973    15.06     7.99     4.57     1.23     0.49     0.77
RUS  1974    15.61     8.39     4.78     1.23     0.48     0.73
RUS  1975    15.71     8.48     4.91     1.19     0.46     0.67
RUS  1976    15.90     8.60     5.07     1.18     0.43     0.62
RUS  1977    15.86     8.54     5.18     1.17     0.41     0.56
RUS  1978    15.91     8.63     5.25     1.16     0.38     0.50
RUS  1979    15.81     8.63     5.23     1.13     0.37     0.46
RUS  1980    15.91     8.60     5.41     1.14     0.35     0.41
RUS  1981    16.07     8.32     5.75     1.23     0.37     0.40
RUS  1982    16.63     8.16     6.23     1.43     0.41     0.40
RUS  1983    17.57     8.03     7.01     1.67     0.45     0.41
RUS  1984    16.97     7.81     6.58     1.71     0.46     0.40
RUS  1985    16.61     7.49     6.43     1.79     0.49     0.42
RUS  1986    17.25     7.30     6.88     2.07     0.55     0.45
RUS  1987    17.20     7.19     6.85     2.14     0.56     0.46
RUS  1988    16.03     7.01     6.14     1.91     0.52     0.44
RUS  1989    14.66     6.81     5.35     1.63     0.46     0.40
RUS  1990    13.44     6.65     4.60     1.41     0.42     0.36
RUS  1991    12.09     6.35     3.86     1.19     0.37     0.32
RUS  1992    10.69     5.96     3.20     0.95     0.31     0.27
RUS  1993     9.38     5.50     2.71     0.74     0.23     0.19
RUS  1994     9.59     5.72     2.73     0.73     0.22     0.18
RUS  1995     9.27     5.54     2.65     0.70     0.22     0.17
RUS  1996     8.88     5.28     2.56     0.68     0.21     0.16
RUS  1997     8.59     5.03     2.52     0.67     0.21     0.16
RUS  1998     8.76     5.15     2.57     0.67     0.21     0.16
RUS  1999     8.32     4.94     2.41     0.63     0.19     0.14
RUS  2000     8.70     5.20     2.53     0.65     0.19     0.13
RUS  2001     9.05     5.45     2.64     0.64     0.19     0.13
RUS  2002     9.69     5.77     2.87     0.71     0.20     0.14
RUS  2003    10.22     6.07     3.05     0.75     0.21     0.13
RUS  2004    10.45     6.20     3.14     0.76     0.21     0.13
RUS  2005    10.18     6.04     3.08     0.74     0.20     0.12
RUS  2006    10.39     6.18     3.15     0.75     0.20     0.11
RUS  2007    11.33     6.28     3.71     0.95     0.25     0.15
RUS  2008    12.08     6.48     4.07     1.10     0.28     0.15
RUS  2009    12.41     6.56     4.27     1.14     0.29     0.16
RUS  2010    12.61     6.37     4.54     1.22     0.31     0.16
SVK  1950    28.74     9.04     7.76     4.70     2.72     4.53
SVK  1951    28.49     8.90     7.61     4.83     2.78     4.38
SVK  1952    28.02     8.50     7.45     4.89     2.89     4.30
SVK  1953    27.04     8.03     7.10     4.86     2.81     4.25
SVK  1954    26.34     7.53     7.08     4.81     2.82     4.10
SVK  1955    26.12     7.58     6.88     4.77     2.82     4.08
SVK  1956    25.69     7.56     6.71     4.58     2.79     4.06
SVK  1957    24.69     7.29     6.46     4.28     2.68     3.98
SVK  1958    23.28     6.84     6.29     4.05     2.42     3.68
SVK  1959    21.64     6.74     5.90     3.77     2.10     3.13
SVK  1960    21.43     6.78     5.84     3.72     2.03     3.05
SVK  1961    20.87     6.77     5.77     3.57     1.94     2.81
SVK  1962    19.80     6.53     5.57     3.30     1.78     2.63
SVK  1963    20.37     6.58     5.78     3.50     1.82     2.68
SVK  1964    20.10     6.47     5.74     3.50     1.79     2.59
SVK  1965    19.30     6.29     5.59     3.25     1.71     2.47
SVK  1966    18.51     6.27     5.43     3.02     1.56     2.23
SVK  1967    17.48     6.28     5.15     2.73     1.35     1.97
SVK  1968    17.10     6.42     5.01     2.60     1.26     1.81
SVK  1969    17.75     6.86     5.30     2.66     1.26     1.68
SVK  1970    17.83     6.99     5.52     2.62     1.19     1.50
SVK  1971    18.22     7.21     5.82     2.62     1.14     1.43
SVK  1972    19.10     7.50     6.20     2.86     1.17     1.36
SVK  1973    20.02     7.55     6.87     3.08     1.21     1.33
SVK  1974    20.81     8.11     7.03     3.21     1.21     1.25
SVK  1975    20.61     8.20     6.92     3.20     1.14     1.15
SVK  1976    20.85     8.24     7.16     3.26     1.13     1.07
SVK  1977    20.58     8.19     7.15     3.22     1.09     0.93
SVK  1978    20.51     8.23     7.12     3.22     1.08     0.87
SVK  1979    20.32     8.11     7.19     3.17     1.04     0.82
SVK  1980    19.11     7.67     6.75     2.94     1.00     0.75
SVK  1981    18.61     7.25     6.62     3.01     1.00     0.74
SVK  1982    18.34     7.30     6.47     2.92     0.97     0.69
SVK  1983    18.11     7.22     6.34     2.86     0.97     0.72
SVK  1984    17.76     7.13     6.24     2.77     0.93     0.69
SVK  1985    17.51     7.09     6.15     2.71     0.94     0.63
SVK  1986    16.83     6.78     5.98     2.64     0.85     0.58
SVK  1987    16.15     6.67     5.75     2.38     0.80     0.55
SVK  1988    15.93     6.53     5.70     2.38     0.79     0.52
SVK  1989    15.27     6.32     5.42     2.26     0.78     0.50
SVK  1990    15.20     6.34     5.35     2.23     0.77     0.52
SVK  1991    14.88     6.56     4.90     2.15     0.75     0.51
SVK  1992    14.08     6.12     4.67     1.99     0.75     0.55
SVK  1993    13.76     5.96     4.61     1.94     0.72     0.52
SVK  1994    12.43     5.38     4.14     1.74     0.65     0.52
SVK  1995    11.48     4.97     3.85     1.56     0.61     0.50
SVK  1996    11.22     4.81     3.69     1.51     0.65     0.56
SVK  1997    11.01     4.76     3.61     1.45     0.62     0.57
SVK  1998    10.72     4.70     3.53     1.36     0.55     0.57
SVK  1999    10.46     4.68     3.38     1.29     0.54     0.57
SVK  2000    10.25     4.69     3.27     1.22     0.50     0.57
SVK  2001     9.50     4.23     3.09     1.15     0.48     0.56
SVK  2002     9.45     4.30     3.04     1.13     0.45     0.53
SVK  2003     9.61     4.39     3.08     1.12     0.46     0.56
SVK  2004     9.98     4.67     3.12     1.16     0.46     0.58
SVK  2005    10.10     4.69     3.22     1.15     0.46     0.58
SVK  2006    10.00     4.68     3.18     1.13     0.44     0.56
SVK  2007    10.08     4.76     3.23     1.14     0.41     0.55
SVK  2008    10.61     5.15     3.32     1.16     0.43     0.54
SVK  2009    11.30     5.43     3.61     1.27     0.43     0.55
SVN  1983    14.17     6.83     5.53     1.36     0.31     0.15
SVN  1984    13.62     6.68     5.24     1.27     0.28     0.15
SVN  1985    13.37     6.50     5.15     1.28     0.31     0.14
SVN  1986    13.02     6.16     5.17     1.28     0.29     0.13
SVN  1987    12.88     6.10     5.12     1.25     0.27     0.13
SVN  1988    12.65     6.03     4.98     1.23     0.29     0.12
SVN  1989    11.75     5.63     4.57     1.17     0.28     0.11
SVN  1990    11.20     5.34     4.42     1.10     0.22     0.11
SVN  1991    10.79     5.11     4.26     1.09     0.22     0.12
SVN  1992    10.01     4.93     3.80     0.97     0.20     0.11
SVN  1993     9.94     4.71     3.89     1.01     0.23     0.10
SVN  1994     9.78     4.58     3.87     1.02     0.21     0.10
SVN  1995     9.54     4.41     3.76     1.04     0.23     0.09
SVN  1996     9.45     4.42     3.70     1.03     0.21     0.09
SVN  1997     9.15     4.36     3.45     1.01     0.23     0.09
SVN  1998     9.01     4.37     3.37     0.99     0.21     0.08
SVN  1999     8.84     4.38     3.22     0.94     0.20     0.10
SVN  2000     9.14     4.59     3.29     0.94     0.23     0.09
SVN  2001     8.77     4.32     3.20     0.94     0.22     0.10
SVN  2002     8.77     4.49     3.06     0.92     0.21     0.09
SVN  2003     8.68     4.35     3.15     0.90     0.19     0.10
SVN  2004     8.99     4.49     3.22     0.99     0.20     0.10
SVN  2005     9.08     4.58     3.24     0.96     0.20     0.10
SVN  2006     9.43     4.68     3.38     1.03     0.24     0.11
SVN  2007     9.82     4.78     3.59     1.10     0.24     0.11
SVN  2008    10.75     5.32     3.91     1.16     0.25     0.11
SVN  2009    10.72     5.26     3.90     1.15     0.28     0.12
SWE  1970    13.69     6.01     4.91     1.88     0.57     0.32
SWE  1971    14.14     6.34     5.03     1.91     0.56     0.29
SWE  1972    13.84     6.20     4.99     1.87     0.52     0.26
SWE  1973    13.49     6.04     4.87     1.85     0.50     0.24
SWE  1974    13.48     5.96     5.00     1.82     0.48     0.21
SWE  1975    12.66     5.62     4.77     1.66     0.42     0.19
SWE  1976    11.97     5.23     4.62     1.56     0.39     0.17
SWE  1977    11.65     4.96     4.60     1.54     0.38     0.17
SWE  1978    11.28     4.67     4.47     1.58     0.39     0.17
SWE  1979    11.62     4.75     4.48     1.77     0.44     0.18
SWE  1980    11.70     4.84     4.39     1.80     0.47     0.19
SWE  1981    11.32     4.64     4.22     1.82     0.46     0.18
SWE  1982    11.18     4.55     4.15     1.83     0.46     0.18
SWE  1983    11.03     4.48     4.05     1.84     0.49     0.18
SWE  1984    11.27     4.52     4.11     1.91     0.53     0.20
SWE  1985    11.80     4.75     4.19     2.05     0.59     0.22
SWE  1986    12.18     5.05     4.24     2.06     0.60     0.23
SWE  1987    12.48     5.23     4.38     2.03     0.59     0.24
SWE  1988    13.32     5.57     4.69     2.16     0.63     0.26
SWE  1989    13.70     5.80     4.74     2.22     0.67     0.27
SWE  1990    14.54     6.13     5.02     2.34     0.74     0.31
SWE  1991    14.37     5.92     5.03     2.36     0.73     0.32
SWE  1992    14.11     5.61     5.12     2.31     0.75     0.32
SWE  1993    13.46     5.33     4.93     2.18     0.69     0.34
SWE  1994    12.79     5.03     4.79     2.02     0.63     0.31
SWE  1995    11.72     4.68     4.38     1.84     0.55     0.27
SWE  1996    10.79     4.43     4.04     1.60     0.47     0.25
SWE  1997    10.25     4.24     3.85     1.48     0.45     0.23
SWE  1998    10.14     4.18     3.78     1.50     0.45     0.24
SWE  1999    10.05     4.22     3.67     1.48     0.44     0.24
SWE  2000    10.29     4.49     3.61     1.50     0.45     0.25
SWE  2001    10.37     4.58     3.66     1.46     0.43     0.24
SWE  2002    10.84     4.88     3.84     1.46     0.42     0.23
