Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 25/09/2014
Code Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
NLD  1955     1.868     0.829     0.677     0.249     0.070     0.042     1.841     0.823     0.670     0.244     0.067     0.037
NLD  1956     1.874     0.830     0.678     0.254     0.071     0.041     1.845     0.823     0.670     0.248     0.067     0.036
NLD  1957     1.871     0.828     0.678     0.256     0.070     0.039     1.840     0.820     0.669     0.250     0.066     0.035
NLD  1958     1.867     0.823     0.675     0.257     0.071     0.040     1.834     0.815     0.665     0.251     0.067     0.035
NLD  1959     1.853     0.823     0.671     0.253     0.069     0.037     1.819     0.815     0.660     0.246     0.065     0.033
NLD  1960         .         .         .         .         .         .     1.827     0.819     0.660     0.248     0.067     0.034
NLD  1961         .         .         .         .         .         .     1.796     0.811     0.653     0.238     0.063     0.030
NLD  1962         .         .         .         .         .         .     1.793     0.813     0.653     0.235     0.062     0.029
NLD  1963         .         .         .         .         .         .     1.770     0.810     0.646     0.227     0.060     0.027
NLD  1964         .         .         .         .         .         .     1.753     0.807     0.639     0.222     0.058     0.027
NLD  1965         .         .         .         .         .         .     1.743     0.808     0.636     0.218     0.056     0.026
NLD  1966         .         .         .         .         .         .     1.735     0.807     0.634     0.215     0.056     0.024
NLD  1967         .         .         .         .         .         .     1.725     0.807     0.632     0.209     0.053     0.024
NLD  1968         .         .         .         .         .         .     1.723     0.811     0.627     0.207     0.053     0.024
NLD  1969         .         .         .         .         .         .     1.709     0.810     0.623     0.203     0.051     0.022
NOR  1952     2.062     0.891     0.753     0.311     0.077     0.030     2.032     0.887     0.746     0.302     0.072     0.025
NOR  1953     2.041     0.886     0.745     0.306     0.077     0.027     2.010     0.881     0.738     0.298     0.071     0.022
NOR  1954     2.048     0.882     0.742     0.312     0.081     0.030     2.012     0.877     0.733     0.302     0.074     0.025
NOR  1955     2.051     0.882     0.742     0.321     0.078     0.028     2.019     0.877     0.735     0.312     0.073     0.023
NOR  1956     2.054     0.882     0.741     0.322     0.081     0.029     2.019     0.875     0.731     0.314     0.074     0.024
NOR  1957     2.062     0.878     0.738     0.329     0.083     0.034     2.025     0.872     0.728     0.319     0.078     0.028
NOR  1958     2.070     0.877     0.738     0.338     0.087     0.031     2.032     0.870     0.728     0.328     0.080     0.026
NOR  1959     2.080     0.880     0.738     0.345     0.087     0.029     2.043     0.874     0.728     0.335     0.081     0.024
NOR  1960         .         .         .         .         .         .     2.052     0.873     0.732     0.337     0.084     0.026
NOR  1961         .         .         .         .         .         .     2.049     0.872     0.731     0.334     0.082     0.030
NOR  1962         .         .         .         .         .         .     2.051     0.872     0.732     0.337     0.082     0.027
NOR  1963         .         .         .         .         .         .     2.039     0.870     0.729     0.332     0.082     0.027
NOR  1964         .         .         .         .         .         .     2.034     0.869     0.724     0.328     0.083     0.030
NOR  1965         .         .         .         .         .         .     2.025     0.871     0.730     0.322     0.076     0.027
NOR  1966         .         .         .         .         .         .     2.024     0.875     0.728     0.315     0.078     0.027
NOR  1967         .         .         .         .         .         .     2.016     0.874     0.727     0.316     0.074     0.026
NOR  1968         .         .         .         .         .         .     2.023     0.879     0.731     0.312     0.073     0.028
NOR  1969         .         .         .         .         .         .     2.008     0.874     0.725     0.311     0.073     0.024
PRT  1944     2.495     0.989     0.728     0.353     0.183     0.242     2.452     0.983     0.723     0.347     0.176     0.222
PRT  1945     2.405     0.980     0.718     0.332     0.164     0.210     2.366     0.976     0.713     0.325     0.159     0.193
PRT  1946     2.350     0.982     0.716     0.317     0.151     0.184     2.313     0.978     0.710     0.311     0.146     0.170
PRT  1947     2.256     0.974     0.699     0.297     0.135     0.151     2.226     0.970     0.695     0.291     0.131     0.139
PRT  1948     2.204     0.963     0.693     0.286     0.127     0.135     2.173     0.959     0.688     0.280     0.122     0.125
PRT  1949     2.129     0.945     0.679     0.269     0.117     0.119     2.100     0.941     0.673     0.263     0.113     0.110
PRT  1950     2.093     0.944     0.676     0.257     0.108     0.108     2.063     0.939     0.669     0.251     0.104     0.100
PRT  1951     2.070     0.938     0.678     0.251     0.104     0.100     2.042     0.933     0.672     0.244     0.100     0.093
PRT  1952     2.055     0.934     0.682     0.248     0.099     0.092     2.027     0.929     0.676     0.242     0.095     0.085
PRT  1953     2.035     0.934     0.679     0.241     0.097     0.084     2.007     0.929     0.673     0.235     0.092     0.078
PRT  1954     2.027     0.946     0.674     0.237     0.091     0.079     1.999     0.941     0.668     0.230     0.087     0.073
PRT  1955     2.039     0.971     0.683     0.232     0.085     0.069     2.011     0.965     0.676     0.224     0.081     0.064
PRT  1956     2.033     0.970     0.679     0.230     0.084     0.069     2.003     0.964     0.672     0.223     0.080     0.064
PRT  1957     1.989     0.964     0.668     0.218     0.079     0.060     1.959     0.958     0.660     0.211     0.075     0.056
PRT  1958     1.989     0.972     0.670     0.215     0.076     0.056     1.958     0.965     0.662     0.207     0.072     0.052
PRT  1959     1.947     0.962     0.655     0.207     0.070     0.053     1.913     0.954     0.645     0.198     0.066     0.049
PRT  1960     1.909     0.959     0.645     0.194     0.065     0.046     1.873     0.951     0.634     0.186     0.061     0.041
PRT  1961     1.884     0.948     0.643     0.190     0.060     0.043     1.846     0.940     0.630     0.181     0.056     0.039
PRT  1962     1.897     0.969     0.647     0.184     0.056     0.041     1.858     0.960     0.635     0.174     0.052     0.037
PRT  1963         .         .         .         .         .         .     1.811     0.946     0.619     0.165     0.050     0.031
PRT  1964         .         .         .         .         .         .     1.800     0.952     0.613     0.162     0.046     0.028
PRT  1965         .         .         .         .         .         .     1.796     0.959     0.610     0.157     0.045     0.025
PRT  1966         .         .         .         .         .         .     1.778     0.964     0.602     0.149     0.040     0.023
PRT  1967         .         .         .         .         .         .     1.761     0.960     0.595     0.146     0.038     0.022
PRT  1968         .         .         .         .         .         .     1.711     0.942     0.575     0.138     0.037     0.020
PRT  1969         .         .         .         .         .         .     1.676     0.931     0.563     0.131     0.034     0.017
PRT  1970         .         .         .         .         .         .     1.643     0.922     0.548     0.125     0.032     0.016
PRT  1971         .         .         .         .         .         .     1.614     0.918     0.534     0.120     0.029     0.014
PRT  1972         .         .         .         .         .         .     1.603     0.912     0.533     0.117     0.029     0.013
RUS  1944     1.815     0.920     0.606     0.167     0.059     0.064     1.791     0.917     0.601     0.161     0.056     0.056
RUS  1945     1.781     0.919     0.594     0.158     0.054     0.057     1.757     0.916     0.588     0.152     0.050     0.050
RUS  1946     1.836     0.949     0.617     0.162     0.053     0.055     1.811     0.946     0.611     0.156     0.050     0.048
RUS  1947     1.766     0.907     0.602     0.156     0.050     0.051     1.743     0.904     0.596     0.150     0.047     0.045
RUS  1948     1.784     0.915     0.610     0.158     0.051     0.050     1.764     0.912     0.606     0.153     0.048     0.045
RUS  1949     1.890     0.963     0.647     0.173     0.054     0.053     1.870     0.960     0.643     0.168     0.052     0.048
RUS  1950     1.854     0.936     0.638     0.174     0.055     0.052     1.837     0.933     0.634     0.170     0.052     0.048
RUS  1951     1.889     0.944     0.657     0.181     0.055     0.052     1.874     0.941     0.654     0.178     0.054     0.048
RUS  1952     1.876     0.931     0.658     0.183     0.055     0.049     1.863     0.929     0.655     0.180     0.054     0.046
RUS  1953     1.862     0.920     0.657     0.183     0.054     0.047     1.850     0.918     0.654     0.181     0.053     0.044
RUS  1954     1.887     0.934     0.669     0.186     0.053     0.045     1.876     0.931     0.667     0.184     0.052     0.042
RUS  1955     1.854     0.914     0.664     0.183     0.052     0.041     1.842     0.912     0.661     0.180     0.050     0.039
RUS  1956     1.845     0.912     0.663     0.181     0.051     0.039     1.834     0.909     0.661     0.178     0.049     0.036
RUS  1957     1.874     0.932     0.675     0.181     0.050     0.037     1.862     0.929     0.672     0.178     0.048     0.034
RUS  1958     1.862     0.936     0.668     0.177     0.048     0.034     1.850     0.934     0.665     0.174     0.047     0.031
RUS  1959     1.860     0.944     0.666     0.172     0.047     0.031     1.847     0.942     0.663     0.169     0.045     0.029
RUS  1960     1.849     0.949     0.659     0.167     0.045     0.029     1.836     0.947     0.656     0.163     0.043     0.027
RUS  1961         .         .         .         .         .         .     1.786     0.931     0.636     0.154     0.040     0.025
RUS  1962         .         .         .         .         .         .     1.737     0.917     0.614     0.146     0.038     0.023
RUS  1963         .         .         .         .         .         .     1.707     0.914     0.595     0.140     0.036     0.021
RUS  1964         .         .         .         .         .         .     1.680     0.913     0.576     0.135     0.035     0.020
RUS  1965         .         .         .         .         .         .     1.659     0.917     0.560     0.129     0.034     0.019
RUS  1966         .         .         .         .         .         .     1.636     0.918     0.541     0.125     0.033     0.019
RUS  1967         .         .         .         .         .         .     1.611     0.915     0.523     0.122     0.032     0.018
RUS  1968         .         .         .         .         .         .     1.600     0.919     0.513     0.120     0.031     0.018
RUS  1969         .         .         .         .         .         .     1.587     0.921     0.501     0.117     0.031     0.017
RUS  1970         .         .         .         .         .         .     1.572     0.919     0.490     0.116     0.030     0.017
SVK  1935     2.708     0.906     0.810     0.481     0.235     0.276     2.679     0.904     0.807     0.477     0.230     0.260
SVK  1936     2.668     0.899     0.806     0.470     0.230     0.262     2.641     0.897     0.804     0.467     0.226     0.247
SVK  1937     2.669     0.909     0.818     0.473     0.223     0.246     2.644     0.907     0.815     0.470     0.219     0.234
SVK  1938     2.638     0.907     0.812     0.469     0.218     0.233     2.616     0.906     0.809     0.465     0.214     0.222
SVK  1939     2.608     0.912     0.812     0.460     0.209     0.214     2.588     0.910     0.810     0.457     0.206     0.204
SVK  1940     2.541     0.907     0.809     0.443     0.193     0.189     2.522     0.905     0.807     0.439     0.190     0.181
SVK  1941     2.485     0.901     0.802     0.431     0.181     0.171     2.469     0.900     0.800     0.428     0.178     0.163
SVK  1942     2.452     0.897     0.801     0.428     0.172     0.154     2.436     0.896     0.800     0.425     0.170     0.147
SVK  1943     2.457     0.905     0.809     0.425     0.171     0.148     2.442     0.903     0.807     0.422     0.168     0.142
SVK  1944     2.422     0.901     0.799     0.417     0.164     0.141     2.407     0.899     0.798     0.414     0.161     0.135
SVK  1945     2.357     0.883     0.788     0.405     0.155     0.125     2.343     0.882     0.787     0.403     0.152     0.119
SVK  1946     2.376     0.903     0.806     0.401     0.150     0.117     2.363     0.901     0.805     0.399     0.147     0.112
SVK  1947     2.378     0.909     0.811     0.399     0.145     0.115     2.365     0.908     0.809     0.397     0.142     0.110
SVK  1948     2.356     0.905     0.805     0.398     0.140     0.108     2.341     0.903     0.803     0.395     0.137     0.102
SVK  1949     2.328     0.902     0.801     0.391     0.136     0.098     2.313     0.901     0.799     0.388     0.133     0.093
SVK  1950     2.303     0.903     0.793     0.383     0.132     0.093     2.288     0.901     0.791     0.380     0.128     0.087
SVK  1951     2.280     0.899     0.794     0.371     0.127     0.089     2.265     0.898     0.792     0.368     0.124     0.083
SVK  1952     2.275     0.903     0.796     0.365     0.124     0.086     2.260     0.901     0.794     0.362     0.121     0.080
SVK  1953     2.241     0.896     0.788     0.358     0.118     0.081     2.227     0.894     0.786     0.355     0.115     0.077
SVK  1954     2.232     0.898     0.789     0.352     0.116     0.078     2.218     0.897     0.787     0.348     0.113     0.073
SVK  1955     2.226     0.905     0.790     0.344     0.114     0.074     2.213     0.903     0.788     0.341     0.111     0.070
SVK  1956     2.214     0.900     0.789     0.341     0.110     0.075     2.199     0.898     0.787     0.337     0.107     0.070
SVK  1957     2.207     0.902     0.786     0.336     0.108     0.075     2.192     0.900     0.784     0.333     0.105     0.069
SVK  1958     2.193     0.902     0.781     0.330     0.108     0.073     2.178     0.900     0.779     0.327     0.106     0.067
SVK  1959     2.184     0.901     0.772     0.327     0.108     0.075     2.168     0.899     0.770     0.323     0.106     0.069
SVK  1960         .         .         .         .         .         .     2.157     0.900     0.767     0.316     0.104     0.070
SVK  1961         .         .         .         .         .         .     2.152     0.899     0.769     0.312     0.103     0.068
SVK  1962         .         .         .         .         .         .     2.129     0.904     0.760     0.299     0.096     0.070
SVK  1963         .         .         .         .         .         .     2.096     0.900     0.751     0.287     0.093     0.066
SVK  1964         .         .         .         .         .         .     2.062     0.894     0.737     0.276     0.090     0.065
SVK  1965         .         .         .         .         .         .     2.023     0.887     0.721     0.263     0.084     0.067
SVK  1966         .         .         .         .         .         .     2.012     0.889     0.713     0.254     0.086     0.069
SVK  1967         .         .         .         .         .         .     1.994     0.886     0.702     0.250     0.083     0.073
SVK  1968         .         .         .         .         .         .     1.969     0.879     0.690     0.244     0.082     0.074
SVK  1969         .         .         .         .         .         .     1.930     0.878     0.669     0.228     0.078     0.077
SVN  1968         .         .         .         .         .         .     1.710     0.886     0.633     0.154     0.028     0.010
SVN  1969         .         .         .         .         .         .     1.698     0.884     0.619     0.153     0.030     0.011
SWE  1955     2.034     0.872     0.723     0.312     0.089     0.037     1.996     0.865     0.713     0.303     0.084     0.031
SWE  1956     2.042     0.870     0.722     0.316     0.092     0.041     2.003     0.862     0.711     0.307     0.087     0.036
SWE  1957     2.052     0.870     0.729     0.320     0.093     0.041     2.013     0.862     0.718     0.311     0.088     0.035
SWE  1958     2.057     0.870     0.728     0.322     0.093     0.045     2.016     0.861     0.717     0.312     0.087     0.038
SWE  1959     2.048     0.866     0.727     0.320     0.093     0.042     2.005     0.857     0.715     0.310     0.088     0.035
SWE  1960     2.058     0.866     0.731     0.322     0.095     0.045     2.011     0.855     0.718     0.310     0.088     0.038
SWE  1961     2.030     0.862     0.728     0.307     0.091     0.042     1.981     0.850     0.714     0.296     0.085     0.037
SWE  1962         .         .         .         .         .         .     1.982     0.852     0.714     0.296     0.083     0.037
SWE  1963         .         .         .         .         .         .     1.971     0.854     0.716     0.287     0.081     0.034
SWE  1964         .         .         .         .         .         .     1.957     0.854     0.714     0.280     0.075     0.033
SWE  1965         .         .         .         .         .         .     1.952     0.855     0.714     0.275     0.074     0.033
SWE  1966         .         .         .         .         .         .     1.938     0.856     0.716     0.267     0.069     0.030
SWE  1967         .         .         .         .         .         .     1.929     0.856     0.712     0.262     0.068     0.031
SWE  1968         .         .         .         .         .         .     1.926     0.860     0.712     0.256     0.067     0.031
SWE  1969         .         .         .         .         .         .     1.921     0.859     0.710     0.252     0.065     0.034
SWE  1970         .         .         .         .         .         .     1.924     0.862     0.714     0.254     0.065     0.030
SWE  1971         .         .         .         .         .         .     1.901     0.859     0.707     0.247     0.062     0.027
TWN  1961         .         .         .         .         .         .     2.140     0.897     0.775     0.371     0.078     0.018
TWN  1962         .         .         .         .         .         .     2.112     0.899     0.771     0.355     0.071     0.016
TWN  1963         .         .         .         .         .         .     2.056     0.891     0.754     0.334     0.064     0.014
TWN  1964         .         .         .         .         .         .     1.995     0.878     0.736     0.313     0.056     0.012
TWN  1965         .         .         .         .         .         .     1.931     0.865     0.714     0.292     0.050     0.010
TWN  1966         .         .         .         .         .         .     1.882     0.856     0.697     0.274     0.045     0.009
TWN  1967         .         .         .         .         .         .     1.854     0.860     0.690     0.256     0.041     0.008
TWN  1968         .         .         .         .         .         .     1.792     0.849     0.667     0.232     0.036     0.007
TWN  1969         .         .         .         .         .         .     1.731     0.836     0.643     0.213     0.032     0.006
TWN  1970         .         .         .         .         .         .     1.688     0.831     0.626     0.195     0.029     0.006
USA  1918     2.507     0.819     0.660     0.416     0.242     0.372     2.429     0.815     0.653     0.405     0.230     0.327
USA  1919     2.595     0.835     0.678     0.436     0.254     0.392     2.517     0.831     0.672     0.426     0.243     0.345
USA  1920     2.708     0.856     0.706     0.461     0.271     0.413     2.628     0.852     0.700     0.451     0.259     0.366
USA  1921     2.749     0.865     0.719     0.472     0.278     0.415     2.673     0.861     0.713     0.462     0.267     0.370
USA  1922     2.784     0.867     0.730     0.481     0.284     0.422     2.714     0.864     0.725     0.472     0.274     0.379
USA  1923     2.852     0.877     0.746     0.496     0.295     0.439     2.786     0.874     0.741     0.488     0.286     0.398
USA  1924     2.942     0.890     0.764     0.516     0.310     0.462     2.879     0.887     0.759     0.508     0.301     0.423
USA  1925     2.986     0.891     0.770     0.528     0.320     0.478     2.929     0.888     0.765     0.521     0.312     0.442
USA  1926     3.025     0.899     0.772     0.537     0.330     0.488     2.974     0.896     0.768     0.531     0.323     0.456
USA  1927     3.092     0.912     0.781     0.554     0.343     0.503     3.046     0.909     0.777     0.548     0.337     0.475
USA  1928     3.109     0.904     0.783     0.563     0.351     0.508     3.067     0.902     0.780     0.558     0.345     0.483
USA  1929     3.171     0.904     0.799     0.579     0.365     0.524     3.132     0.902     0.796     0.575     0.359     0.501
USA  1930     3.239     0.912     0.817     0.598     0.376     0.536     3.204     0.910     0.814     0.594     0.372     0.514
USA  1931     3.241     0.915     0.821     0.602     0.379     0.524     3.210     0.913     0.818     0.598     0.375     0.506
USA  1932     3.253     0.922     0.828     0.607     0.381     0.515     3.226     0.920     0.825     0.604     0.378     0.499
USA  1933     3.256     0.928     0.834     0.611     0.382     0.501     3.231     0.927     0.832     0.609     0.379     0.486
USA  1934     3.254     0.937     0.840     0.616     0.380     0.481     3.230     0.935     0.838     0.613     0.377     0.467
USA  1935     3.214     0.939     0.840     0.610     0.371     0.454     3.192     0.937     0.838     0.607     0.368     0.442
USA  1936     3.131     0.933     0.830     0.595     0.356     0.416     3.110     0.931     0.828     0.592     0.353     0.405
USA  1937     3.059     0.934     0.827     0.582     0.339     0.377     3.039     0.932     0.825     0.580     0.336     0.366
USA  1938     2.983     0.934     0.824     0.567     0.320     0.338     2.964     0.933     0.822     0.564     0.317     0.328
USA  1939     2.892     0.930     0.815     0.546     0.300     0.302     2.872     0.928     0.812     0.543     0.297     0.292
USA  1940     2.795     0.925     0.804     0.522     0.276     0.267     2.775     0.923     0.802     0.519     0.273     0.258
USA  1941     2.680     0.921     0.791     0.492     0.249     0.227     2.660     0.919     0.789     0.488     0.246     0.219
USA  1942     2.561     0.915     0.777     0.458     0.222     0.189     2.542     0.913     0.774     0.455     0.219     0.182
USA  1943     2.463     0.907     0.762     0.431     0.200     0.164     2.444     0.904     0.759     0.427     0.197     0.156
USA  1944     2.365     0.894     0.742     0.403     0.182     0.145     2.345     0.891     0.738     0.399     0.179     0.138
USA  1945     2.292     0.889     0.729     0.380     0.166     0.129     2.270     0.885     0.725     0.376     0.162     0.122
USA  1946     2.215     0.887     0.716     0.356     0.147     0.108     2.191     0.884     0.711     0.351     0.143     0.102
USA  1947     2.149     0.882     0.703     0.337     0.134     0.094     2.125     0.877     0.697     0.332     0.130     0.088
USA  1948     2.103     0.872     0.691     0.325     0.127     0.089     2.077     0.867     0.684     0.320     0.123     0.082
USA  1949     2.058     0.858     0.677     0.316     0.122     0.085     2.030     0.853     0.670     0.311     0.118     0.078
USA  1950     2.025     0.850     0.667     0.310     0.117     0.081     1.995     0.844     0.660     0.304     0.113     0.075
USA  1951     1.996     0.844     0.659     0.304     0.113     0.077     1.965     0.837     0.651     0.297     0.109     0.070
USA  1952     1.978     0.839     0.654     0.300     0.111     0.074     1.945     0.832     0.645     0.293     0.107     0.068
USA  1953     1.971     0.835     0.651     0.300     0.111     0.074     1.937     0.828     0.642     0.293     0.106     0.067
USA  1954     1.973     0.835     0.651     0.302     0.111     0.074     1.938     0.828     0.641     0.295     0.107     0.068
USA  1955     1.981     0.837     0.653     0.304     0.112     0.075     1.944     0.830     0.643     0.297     0.108     0.068
USA  1956     1.984     0.838     0.654     0.306     0.113     0.074     1.946     0.830     0.643     0.298     0.108     0.067
USA  1957     1.986     0.837     0.654     0.308     0.113     0.074     1.947     0.829     0.643     0.300     0.109     0.067
USA  1958     1.994     0.839     0.656     0.310     0.114     0.075     1.954     0.830     0.645     0.302     0.109     0.067
USA  1959     2.010     0.844     0.660     0.314     0.116     0.076     1.967     0.835     0.648     0.305     0.111     0.068
USA  1960     2.018     0.846     0.662     0.316     0.118     0.076     1.974     0.837     0.650     0.307     0.112     0.069
USA  1961         .         .         .         .         .         .     1.981     0.838     0.652     0.309     0.113     0.069
USA  1962         .         .         .         .         .         .     1.989     0.841     0.653     0.311     0.114     0.070
USA  1963         .         .         .         .         .         .     2.000     0.845     0.655     0.313     0.115     0.071
USA  1964         .         .         .         .         .         .     2.011     0.847     0.658     0.316     0.117     0.072
USA  1965         .         .         .         .         .         .     2.024     0.849     0.660     0.321     0.120     0.074
USA  1966         .         .         .         .         .         .     2.045     0.854     0.665     0.326     0.123     0.077
USA  1967         .         .         .         .         .         .     2.062     0.859     0.670     0.330     0.125     0.078
USA  1968         .         .         .         .         .         .     2.061     0.859     0.670     0.330     0.125     0.078
USA  1969         .         .         .         .         .         .     2.055     0.857     0.667     0.329     0.125     0.077
USA  1970         .         .         .         .         .         .     2.068     0.863     0.670     0.331     0.126     0.078
UKR  1944     1.839     0.910     0.642     0.180     0.055     0.051     1.816     0.908     0.638     0.175     0.052     0.044
UKR  1945     1.831     0.919     0.643     0.172     0.051     0.045     1.811     0.916     0.639     0.167     0.049     0.039
UKR  1946     1.856     0.944     0.653     0.169     0.048     0.042     1.836     0.941     0.649     0.164     0.046     0.036
UKR  1947     1.867     0.970     0.653     0.161     0.044     0.039     1.848     0.967     0.649     0.156     0.042     0.034
UKR  1948     1.886     0.983     0.661     0.159     0.045     0.039     1.869     0.980     0.657     0.155     0.043     0.034
UKR  1949     1.916     0.985     0.678     0.165     0.047     0.041     1.900     0.983     0.674     0.162     0.045     0.037
UKR  1950     1.901     0.977     0.675     0.163     0.046     0.040     1.887     0.975     0.672     0.160     0.044     0.036
UKR  1951     1.911     0.973     0.687     0.165     0.046     0.040     1.897     0.970     0.684     0.162     0.044     0.037
UKR  1952     1.883     0.962     0.678     0.161     0.043     0.038     1.871     0.960     0.675     0.158     0.042     0.035
UKR  1953     1.848     0.951     0.662     0.157     0.041     0.036     1.837     0.949     0.660     0.155     0.040     0.033
UKR  1954     1.839     0.936     0.667     0.158     0.042     0.036     1.829     0.934     0.665     0.156     0.040     0.033
UKR  1955     1.831     0.930     0.666     0.157     0.041     0.036     1.821     0.928     0.664     0.155     0.040     0.033
UKR  1956     1.824     0.927     0.667     0.154     0.041     0.034     1.814     0.926     0.665     0.152     0.039     0.032
UKR  1957     1.842     0.942     0.672     0.153     0.041     0.034     1.832     0.940     0.670     0.151     0.040     0.031
UKR  1958     1.862     0.964     0.672     0.152     0.040     0.033     1.851     0.963     0.670     0.149     0.039     0.031
UKR  1959     1.857     0.968     0.671     0.147     0.039     0.031     1.847     0.966     0.669     0.145     0.038     0.029
UKR  1960         .         .         .         .         .         .     1.824     0.961     0.660     0.139     0.036     0.027
UKR  1961         .         .         .         .         .         .     1.795     0.955     0.646     0.134     0.034     0.026
UKR  1962         .         .         .         .         .         .     1.762     0.947     0.631     0.127     0.032     0.025
UKR  1963         .         .         .         .         .         .     1.727     0.941     0.610     0.121     0.031     0.023
UKR  1964         .         .         .         .         .         .     1.686     0.932     0.585     0.116     0.030     0.023
UKR  1965         .         .         .         .         .         .     1.663     0.932     0.567     0.112     0.029     0.023
UKR  1966         .         .         .         .         .         .     1.656     0.944     0.553     0.109     0.029     0.022
UKR  1967         .         .         .         .         .         .     1.604     0.926     0.524     0.104     0.028     0.022
UKR  1968         .         .         .         .         .         .     1.579     0.924     0.505     0.101     0.027     0.022
UKR  1969         .         .         .         .         .         .     1.575     0.931     0.496     0.099     0.027     0.021
