Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 25/09/2014
Code Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
CZE  1981     2.021     0.899     0.788     0.247     0.057     0.030     2.009     0.897     0.786     0.244     0.055     0.027
CZE  1982     2.014     0.902     0.780     0.246     0.057     0.029     2.003     0.900     0.778     0.243     0.056     0.026
CZE  1983     1.971     0.908     0.743     0.238     0.055     0.027     1.961     0.907     0.742     0.235     0.053     0.025
CZE  1984     1.976     0.923     0.744     0.229     0.054     0.026     1.967     0.922     0.742     0.227     0.052     0.024
CZE  1985     1.974     0.924     0.747     0.224     0.053     0.025     1.965     0.923     0.746     0.222     0.051     0.023
CZE  1986     1.948     0.915     0.736     0.220     0.052     0.024     1.940     0.914     0.735     0.218     0.051     0.022
CZE  1987     1.923     0.908     0.730     0.210     0.052     0.023     1.915     0.907     0.728     0.208     0.050     0.022
CZE  1988     1.954     0.918     0.740     0.222     0.053     0.023     1.946     0.916     0.738     0.219     0.051     0.021
CZE  1989     1.888     0.895     0.712     0.209     0.049     0.023     1.880     0.894     0.711     0.207     0.047     0.021
CZE  1990     1.908     0.903     0.721     0.211     0.050     0.023     1.899     0.902     0.719     0.208     0.049     0.021
CZE  1991     1.861     0.910     0.679     0.199     0.051     0.023     1.852     0.909     0.677     0.195     0.049     0.021
CZE  1992     1.715     0.821     0.638     0.185     0.048     0.023     1.706     0.820     0.636     0.182     0.046     0.021
CZE  1993     1.667     0.764     0.640     0.185     0.051     0.026     1.657     0.763     0.639     0.182     0.049     0.024
CZE  1994     1.440     0.644     0.556     0.168     0.048     0.025     1.431     0.643     0.554     0.165     0.046     0.023
CZE  1995     1.281     0.557     0.512     0.146     0.043     0.023     1.272     0.556     0.511     0.143     0.041     0.021
CZE  1996     1.189     0.522     0.472     0.133     0.040     0.022     1.180     0.521     0.471     0.130     0.039     0.020
CZE  1997     1.178     0.527     0.459     0.132     0.036     0.023     1.169     0.526     0.458     0.129     0.034     0.021
CZE  1998     1.163     0.530     0.449     0.127     0.035     0.022     1.153     0.528     0.447     0.124     0.033     0.020
CZE  1999     1.139     0.529     0.432     0.123     0.035     0.020     1.129     0.527     0.430     0.120     0.033     0.018
CZE  2000     1.151     0.540     0.430     0.125     0.035     0.021     1.140     0.538     0.428     0.121     0.033     0.020
CZE  2001     1.144     0.535     0.430     0.125     0.034     0.021     1.131     0.533     0.427     0.121     0.031     0.018
CZE  2002     1.165     0.554     0.428     0.127     0.034     0.021     1.151     0.552     0.425     0.122     0.032     0.019
CZE  2003     1.172     0.564     0.429     0.126     0.033     0.020     1.156     0.562     0.425     0.120     0.031     0.018
CZE  2004     1.219     0.601     0.437     0.128     0.034     0.020     1.202     0.598     0.433     0.122     0.031     0.017
CZE  2005     1.275     0.628     0.463     0.131     0.034     0.019     1.256     0.625     0.459     0.125     0.031     0.017
CZE  2006     1.323     0.658     0.475     0.135     0.034     0.021     1.302     0.655     0.470     0.128     0.030     0.019
CZE  2007     1.440     0.695     0.529     0.156     0.038     0.022     1.415     0.692     0.523     0.147     0.034     0.019
CZE  2008     1.513     0.743     0.554     0.158     0.037     0.022     1.485     0.739     0.547     0.148     0.033     0.018
CZE  2009     1.514     0.744     0.559     0.152     0.038     0.021     1.485     0.739     0.551     0.142     0.034     0.018
CZE  2010     1.516     0.733     0.569     0.154     0.038     0.022     1.485     0.729     0.561     0.144     0.033     0.019
CZE  2011     1.427     0.700     0.536     0.137     0.035     0.020     1.396     0.695     0.526     0.126     0.031     0.018
EST  1959     1.947     0.971     0.612     0.202     0.079     0.083     1.880     0.960     0.598     0.191     0.069     0.061
EST  1960     1.975     0.983     0.634     0.201     0.075     0.081     1.907     0.975     0.619     0.189     0.066     0.059
EST  1961     1.982     0.995     0.644     0.202     0.069     0.072     1.924     0.987     0.630     0.192     0.063     0.053
EST  1962     1.965     0.987     0.642     0.199     0.070     0.067     1.905     0.979     0.626     0.188     0.064     0.049
EST  1963     1.912     0.972     0.621     0.184     0.070     0.066     1.858     0.964     0.607     0.174     0.064     0.049
EST  1964     1.970     1.008     0.647     0.189     0.063     0.062     1.919     1.000     0.634     0.180     0.057     0.048
EST  1965     1.915     0.973     0.640     0.175     0.067     0.058     1.865     0.966     0.628     0.167     0.061     0.044
EST  1966     1.898     0.954     0.641     0.185     0.060     0.059     1.849     0.945     0.629     0.176     0.053     0.046
EST  1967     1.911     0.979     0.634     0.181     0.064     0.053     1.867     0.971     0.624     0.171     0.059     0.043
EST  1968     2.025     1.025     0.693     0.188     0.064     0.054     1.985     1.018     0.683     0.181     0.059     0.044
EST  1969     2.126     1.068     0.738     0.203     0.062     0.055     2.086     1.062     0.726     0.194     0.057     0.047
EST  1970     2.188     1.098     0.778     0.200     0.058     0.054     2.150     1.093     0.766     0.193     0.053     0.046
EST  1971     2.234     1.100     0.798     0.214     0.063     0.059     2.197     1.094     0.789     0.205     0.059     0.049
EST  1972     2.177     1.055     0.790     0.214     0.064     0.054     2.141     1.050     0.779     0.206     0.060     0.047
EST  1973     2.098     1.018     0.758     0.207     0.061     0.054     2.062     1.014     0.749     0.198     0.056     0.045
EST  1974     2.089     1.018     0.742     0.214     0.062     0.052     2.053     1.012     0.734     0.205     0.058     0.044
EST  1975     2.048     0.995     0.731     0.211     0.062     0.050     2.015     0.991     0.722     0.202     0.057     0.042
EST  1976     2.058     1.002     0.733     0.204     0.065     0.055     2.026     0.997     0.726     0.196     0.061     0.046
EST  1977     2.053     1.003     0.739     0.199     0.058     0.055     2.023     0.999     0.730     0.193     0.055     0.047
EST  1978     2.016     0.993     0.717     0.194     0.059     0.053     1.987     0.988     0.710     0.188     0.056     0.045
EST  1979     2.012     1.006     0.696     0.198     0.057     0.056     1.986     1.002     0.689     0.192     0.054     0.049
EST  1980     2.030     1.010     0.712     0.200     0.055     0.052     2.003     1.007     0.706     0.193     0.052     0.045
EST  1981     2.087     1.014     0.752     0.209     0.061     0.052     2.062     1.011     0.746     0.202     0.058     0.045
EST  1982     2.096     0.991     0.760     0.223     0.065     0.056     2.069     0.989     0.753     0.216     0.063     0.049
EST  1983     2.177     0.990     0.829     0.238     0.062     0.058     2.149     0.986     0.823     0.231     0.058     0.051
EST  1984     2.182     1.011     0.811     0.240     0.066     0.054     2.158     1.008     0.805     0.234     0.062     0.049
EST  1985     2.130     0.986     0.784     0.242     0.065     0.055     2.105     0.982     0.779     0.236     0.061     0.047
EST  1986     2.178     1.001     0.800     0.246     0.071     0.059     2.150     0.998     0.795     0.239     0.067     0.051
EST  1987     2.271     1.028     0.843     0.273     0.069     0.059     2.245     1.025     0.837     0.267     0.064     0.053
EST  1988     2.275     1.033     0.805     0.291     0.084     0.061     2.245     1.028     0.799     0.284     0.081     0.053
EST  1989     2.218     1.016     0.758     0.297     0.087     0.061     2.195     1.013     0.753     0.291     0.083     0.055
EST  1990     2.059     0.980     0.671     0.266     0.083     0.059     2.034     0.978     0.666     0.260     0.077     0.052
EST  1991     1.820     0.919     0.568     0.212     0.069     0.052     1.800     0.916     0.563     0.207     0.067     0.047
EST  1992     1.712     0.874     0.529     0.195     0.063     0.051     1.691     0.871     0.526     0.189     0.061     0.045
EST  1993     1.467     0.733     0.461     0.170     0.058     0.045     1.451     0.731     0.458     0.166     0.055     0.040
EST  1994     1.378     0.688     0.434     0.158     0.055     0.043     1.364     0.687     0.431     0.154     0.053     0.038
EST  1995     1.329     0.662     0.427     0.147     0.050     0.042     1.313     0.660     0.425     0.143     0.048     0.038
EST  1996     1.316     0.663     0.408     0.154     0.050     0.040     1.300     0.662     0.405     0.148     0.048     0.036
EST  1997     1.264     0.625     0.410     0.143     0.044     0.042     1.245     0.623     0.408     0.137     0.041     0.036
EST  1998     1.238     0.623     0.388     0.141     0.048     0.038     1.220     0.622     0.384     0.136     0.045     0.033
EST  1999     1.280     0.634     0.414     0.140     0.051     0.040     1.260     0.631     0.411     0.136     0.048     0.034
EST  2000     1.356     0.657     0.435     0.164     0.057     0.043     1.332     0.655     0.431     0.156     0.053     0.037
EST  2001     1.316     0.635     0.428     0.161     0.052     0.040     1.295     0.633     0.424     0.155     0.048     0.034
EST  2002     1.359     0.653     0.451     0.164     0.052     0.039     1.334     0.652     0.446     0.155     0.048     0.033
EST  2003     1.367     0.671     0.447     0.159     0.052     0.038     1.343     0.668     0.442     0.153     0.047     0.033
EST  2004     1.473     0.723     0.478     0.182     0.053     0.038     1.446     0.720     0.473     0.175     0.047     0.032
EST  2005     1.519     0.730     0.514     0.185     0.053     0.037     1.488     0.727     0.507     0.175     0.048     0.032
EST  2006     1.585     0.758     0.549     0.193     0.048     0.037     1.549     0.754     0.540     0.181     0.043     0.030
EST  2007     1.687     0.796     0.584     0.216     0.055     0.037     1.646     0.792     0.574     0.202     0.048     0.030
EST  2008     1.721     0.809     0.597     0.220     0.058     0.036     1.675     0.804     0.586     0.204     0.051     0.029
EST  2009     1.701     0.771     0.602     0.228     0.062     0.037     1.651     0.765     0.590     0.212     0.054     0.030
EST  2010     1.721     0.722     0.646     0.243     0.070     0.039     1.667     0.715     0.633     0.224     0.061     0.034
EST  2011     1.613     0.649     0.621     0.240     0.069     0.033     1.561     0.643     0.608     0.225     0.059     0.027
EST  2012     1.559     0.646     0.586     0.228     0.061     0.037     1.501     0.639     0.570     0.212     0.053     0.028
FIN  1982     1.715     0.712     0.624     0.260     0.069     0.050     1.679     0.708     0.618     0.251     0.064     0.038
FIN  1983     1.736     0.700     0.634     0.275     0.078     0.049     1.701     0.695     0.627     0.267     0.072     0.039
FIN  1984     1.694     0.675     0.611     0.280     0.078     0.051     1.658     0.671     0.604     0.270     0.072     0.041
FIN  1985     1.643     0.660     0.587     0.268     0.078     0.050     1.607     0.656     0.581     0.258     0.072     0.040
FIN  1986     1.598     0.637     0.577     0.260     0.075     0.049     1.564     0.633     0.570     0.251     0.070     0.039
FIN  1987     1.586     0.642     0.566     0.254     0.074     0.050     1.550     0.638     0.558     0.244     0.068     0.041
FIN  1988     1.693     0.685     0.595     0.283     0.079     0.051     1.655     0.680     0.587     0.273     0.073     0.042
FIN  1989     1.708     0.696     0.588     0.287     0.084     0.053     1.671     0.691     0.581     0.277     0.078     0.044
FIN  1990     1.782     0.731     0.595     0.307     0.092     0.057     1.741     0.725     0.586     0.297     0.085     0.047
FIN  1991     1.794     0.751     0.597     0.295     0.093     0.058     1.756     0.746     0.589     0.285     0.087     0.049
FIN  1992     1.848     0.756     0.625     0.304     0.101     0.062     1.806     0.750     0.616     0.295     0.094     0.051
FIN  1993     1.814     0.739     0.621     0.294     0.098     0.062     1.774     0.734     0.611     0.284     0.093     0.052
FIN  1994     1.846     0.730     0.630     0.310     0.105     0.071     1.805     0.724     0.621     0.300     0.099     0.061
FIN  1995     1.807     0.723     0.620     0.298     0.099     0.067     1.763     0.716     0.610     0.288     0.093     0.057
FIN  1996     1.764     0.715     0.599     0.288     0.096     0.065     1.721     0.708     0.590     0.279     0.090     0.055
FIN  1997     1.746     0.717     0.595     0.274     0.092     0.068     1.701     0.710     0.585     0.264     0.085     0.058
FIN  1998     1.700     0.697     0.574     0.268     0.092     0.069     1.653     0.689     0.563     0.257     0.085     0.058
FIN  1999     1.735     0.717     0.575     0.278     0.095     0.070     1.686     0.708     0.564     0.266     0.088     0.059
FIN  2000     1.729     0.712     0.579     0.273     0.093     0.072     1.680     0.703     0.568     0.262     0.086     0.061
FIN  2001     1.726     0.714     0.573     0.273     0.094     0.072     1.675     0.705     0.561     0.262     0.087     0.061
FIN  2002     1.718     0.718     0.568     0.266     0.091     0.076     1.666     0.708     0.555     0.255     0.084     0.064
FIN  2003     1.759     0.744     0.581     0.269     0.089     0.077     1.703     0.733     0.567     0.256     0.082     0.066
FIN  2004     1.800     0.759     0.589     0.274     0.098     0.079     1.742     0.749     0.575     0.261     0.090     0.067
FIN  2005     1.803     0.763     0.595     0.268     0.095     0.082     1.746     0.750     0.581     0.257     0.088     0.070
FIN  2006     1.837     0.774     0.611     0.273     0.096     0.084     1.779     0.762     0.597     0.260     0.088     0.072
FIN  2007     1.829     0.766     0.610     0.271     0.094     0.088     1.769     0.754     0.596     0.258     0.086     0.075
FIN  2008     1.846     0.770     0.619     0.274     0.096     0.087     1.786     0.757     0.603     0.261     0.090     0.075
FIN  2009     1.864     0.782     0.624     0.276     0.094     0.087     1.801     0.767     0.608     0.265     0.087     0.074
DEUTNP  2009     1.359     0.683     0.458     0.150     0.044     0.024     1.317     0.670     0.444     0.142     0.040     0.020
DEUTNP  2010     1.394     0.695     0.472     0.157     0.045     0.025     1.349     0.681     0.457     0.148     0.041     0.021
DEUTW  2009     1.354     0.675     0.457     0.154     0.044     0.023     1.310     0.662     0.443     0.145     0.041     0.020
DEUTW  2010     1.386     0.685     0.470     0.160     0.046     0.024     1.339     0.671     0.455     0.151     0.042     0.021
DEUTE  1956     2.293     0.884     0.686     0.369     0.178     0.178     2.240     0.880     0.677     0.358     0.168     0.157
DEUTE  1957     2.242     0.857     0.666     0.360     0.179     0.180     2.191     0.853     0.659     0.350     0.170     0.160
DEUTE  1958     2.221     0.847     0.648     0.357     0.182     0.187     2.173     0.843     0.641     0.347     0.173     0.168
DEUTE  1959     2.358     0.894     0.675     0.380     0.198     0.211     2.309     0.891     0.669     0.369     0.189     0.191
DEUTE  1960     2.349     0.908     0.656     0.375     0.194     0.216     2.300     0.905     0.650     0.365     0.185     0.195
DEUTE  1961     2.424     0.956     0.664     0.378     0.197     0.228     2.376     0.953     0.658     0.368     0.188     0.209
DEUTE  1962     2.422     0.972     0.661     0.367     0.195     0.226     2.376     0.969     0.655     0.358     0.186     0.207
DEUTE  1963     2.477     0.993     0.683     0.373     0.197     0.232     2.430     0.989     0.676     0.363     0.189     0.214
DEUTE  1964     2.482     0.992     0.693     0.368     0.193     0.237     2.435     0.989     0.686     0.357     0.184     0.218
DEUTE  1965     2.485     0.999     0.704     0.364     0.191     0.228     2.440     0.995     0.698     0.355     0.183     0.210
DEUTE  1966     2.423     0.974     0.707     0.366     0.183     0.193     2.389     0.970     0.702     0.359     0.177     0.180
DEUTE  1967     2.334     0.960     0.692     0.349     0.170     0.164     2.305     0.957     0.688     0.343     0.164     0.153
DEUTE  1968     2.292     0.952     0.689     0.342     0.164     0.146     2.267     0.949     0.686     0.337     0.159     0.136
DEUTE  1969     2.232     0.957     0.678     0.327     0.146     0.124     2.210     0.955     0.675     0.322     0.142     0.115
DEUTE  1970     2.188     0.976     0.671     0.304     0.129     0.108     2.167     0.974     0.668     0.300     0.125     0.099
DEUTE  1971     2.129     0.971     0.658     0.286     0.118     0.097     2.108     0.968     0.655     0.282     0.114     0.088
DEUTE  1972     1.784     0.902     0.544     0.196     0.076     0.066     1.765     0.900     0.542     0.192     0.073     0.059
DEUTE  1973     1.573     0.879     0.483     0.120     0.044     0.048     1.559     0.877     0.481     0.118     0.041     0.042
DEUTE  1974     1.537     0.867     0.481     0.110     0.039     0.040     1.524     0.866     0.479     0.108     0.037     0.035
DEUTE  1975     1.540     0.868     0.499     0.104     0.036     0.033     1.528     0.867     0.497     0.102     0.034     0.028
DEUTE  1976     1.636     0.908     0.550     0.111     0.036     0.031     1.624     0.906     0.548     0.108     0.034     0.027
DEUTE  1977     1.850     0.966     0.680     0.132     0.041     0.032     1.838     0.964     0.678     0.130     0.039     0.027
DEUTE  1978     1.898     0.987     0.701     0.140     0.041     0.029     1.888     0.986     0.699     0.138     0.040     0.025
DEUTE  1979     1.895     0.986     0.697     0.143     0.042     0.027     1.885     0.985     0.695     0.142     0.040     0.024
DEUTE  1980     1.942     1.012     0.705     0.155     0.044     0.026     1.932     1.011     0.703     0.153     0.042     0.023
DEUTE  1981     1.858     0.948     0.689     0.152     0.043     0.027     1.850     0.947     0.687     0.151     0.042     0.024
DEUTE  1982     1.859     0.929     0.698     0.162     0.045     0.025     1.852     0.928     0.697     0.161     0.044     0.023
DEUTE  1983     1.791     0.889     0.668     0.163     0.045     0.026     1.783     0.888     0.666     0.161     0.044     0.023
DEUTE  1984     1.738     0.856     0.649     0.164     0.044     0.026     1.731     0.855     0.647     0.163     0.043     0.024
DEUTE  1985     1.736     0.827     0.644     0.191     0.047     0.027     1.729     0.826     0.643     0.189     0.046     0.025
DEUTE  1986     1.700     0.813     0.629     0.183     0.048     0.027     1.694     0.812     0.628     0.181     0.047     0.025
DEUTE  1987     1.737     0.809     0.650     0.198     0.051     0.029     1.729     0.808     0.649     0.196     0.050     0.027
DEUTE  1988     1.669     0.780     0.623     0.188     0.049     0.028     1.662     0.780     0.622     0.186     0.048     0.026
DEUTE  1989     1.578     0.746     0.579     0.176     0.048     0.029     1.571     0.745     0.578     0.174     0.047     0.027
DEUTE  1990         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1991         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1992         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1993         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1994         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1995         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1996         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1997         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1998         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  1999         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2000         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2001         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2002         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2003         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2004         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2005         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2006         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2007         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2008         .         .         .         .         .         .         .         .         .         .         .         .
DEUTE  2009     1.405     0.719     0.482     0.138     0.041     0.025     1.377     0.713     0.473     0.131     0.038     0.021
DEUTE  2010     1.460     0.742     0.505     0.145     0.043     0.026     1.429     0.736     0.494     0.137     0.039     0.022
HUN  1952     2.469     0.956     0.676     0.347     0.187     0.303     2.382     0.949     0.668     0.337     0.178     0.250
HUN  1953     2.753     1.022     0.767     0.424     0.218     0.322     2.656     1.014     0.757     0.411     0.207     0.267
HUN  1954     2.975     1.047     0.870     0.466     0.245     0.347     2.878     1.040     0.859     0.453     0.234     0.292
HUN  1955     2.808     1.053     0.814     0.415     0.217     0.308     2.717     1.047     0.805     0.404     0.206     0.256
HUN  1956     2.603     1.022     0.753     0.372     0.193     0.264     2.532     1.016     0.745     0.362     0.184     0.224
HUN  1957     2.295     0.993     0.661     0.285     0.140     0.216     2.238     0.988     0.655     0.278     0.133     0.183
HUN  1958     2.186     0.963     0.650     0.262     0.124     0.188     2.138     0.958     0.644     0.256     0.119     0.161
HUN  1959     2.089     0.927     0.622     0.247     0.117     0.176     2.047     0.923     0.616     0.242     0.113     0.152
HUN  1960     2.024     0.896     0.595     0.255     0.112     0.165     1.986     0.893     0.590     0.250     0.108     0.144
HUN  1961     1.939     0.875     0.567     0.238     0.107     0.153     1.904     0.871     0.562     0.233     0.103     0.133
HUN  1962     1.795     0.815     0.524     0.216     0.100     0.141     1.763     0.811     0.521     0.212     0.096     0.123
HUN  1963     1.825     0.818     0.556     0.212     0.097     0.140     1.795     0.815     0.552     0.209     0.094     0.125
HUN  1964     1.822     0.860     0.546     0.198     0.090     0.127     1.794     0.857     0.543     0.194     0.087     0.113
HUN  1965     1.831     0.886     0.553     0.187     0.083     0.122     1.805     0.883     0.550     0.184     0.080     0.110
HUN  1966     1.899     0.924     0.596     0.178     0.081     0.120     1.874     0.921     0.593     0.174     0.077     0.108
HUN  1967     2.027     0.969     0.668     0.191     0.080     0.119     2.002     0.966     0.664     0.188     0.078     0.106
HUN  1968     2.081     0.981     0.713     0.194     0.078     0.114     2.057     0.979     0.709     0.190     0.076     0.103
HUN  1969     2.052     0.977     0.702     0.189     0.074     0.109     2.027     0.974     0.699     0.185     0.072     0.098
HUN  1970     1.989     0.946     0.687     0.184     0.070     0.101     1.966     0.943     0.684     0.181     0.067     0.091
HUN  1971     1.941     0.920     0.673     0.181     0.068     0.098     1.919     0.918     0.670     0.178     0.065     0.089
HUN  1972     1.940     0.912     0.687     0.180     0.066     0.095     1.918     0.909     0.684     0.177     0.063     0.085
HUN  1973     1.942     0.904     0.686     0.196     0.066     0.090     1.921     0.902     0.683     0.192     0.064     0.081
HUN  1974     2.288     0.970     0.894     0.256     0.076     0.093     2.265     0.967     0.891     0.252     0.072     0.082
HUN  1975     2.366     0.991     0.947     0.269     0.075     0.084     2.343     0.989     0.943     0.265     0.072     0.074
HUN  1976     2.250     0.996     0.871     0.242     0.068     0.073     2.229     0.994     0.867     0.239     0.065     0.064
HUN  1977     2.168     0.973     0.832     0.232     0.063     0.068     2.147     0.971     0.828     0.228     0.060     0.059
HUN  1978     2.078     0.960     0.793     0.210     0.057     0.058     2.061     0.958     0.789     0.207     0.055     0.051
HUN  1979     2.018     0.952     0.757     0.198     0.054     0.055     2.001     0.950     0.755     0.195     0.052     0.049
HUN  1980     1.915     0.909     0.715     0.187     0.052     0.051     1.899     0.907     0.712     0.185     0.050     0.045
HUN  1981     1.882     0.888     0.695     0.199     0.053     0.047     1.867     0.887     0.692     0.196     0.051     0.042
HUN  1982     1.806     0.864     0.663     0.185     0.051     0.043     1.792     0.863     0.660     0.182     0.049     0.038
HUN  1983     1.761     0.848     0.645     0.178     0.050     0.041     1.748     0.846     0.642     0.175     0.048     0.037
HUN  1984     1.774     0.866     0.643     0.174     0.050     0.041     1.762     0.864     0.641     0.171     0.048     0.038
HUN  1985     1.874     0.883     0.689     0.200     0.057     0.045     1.861     0.881     0.686     0.197     0.055     0.042
HUN  1986     1.869     0.853     0.704     0.207     0.060     0.045     1.855     0.851     0.701     0.204     0.058     0.042
HUN  1987     1.854     0.840     0.694     0.211     0.062     0.046     1.839     0.837     0.692     0.207     0.060     0.042
HUN  1988     1.846     0.834     0.680     0.220     0.063     0.049     1.831     0.832     0.678     0.216     0.060     0.045
HUN  1989     1.838     0.808     0.684     0.233     0.066     0.047     1.823     0.806     0.681     0.229     0.063     0.043
HUN  1990     1.868     0.820     0.683     0.247     0.068     0.049     1.853     0.819     0.681     0.242     0.066     0.045
HUN  1991     1.875     0.825     0.682     0.243     0.072     0.054     1.859     0.823     0.679     0.239     0.069     0.050
HUN  1992     1.776     0.768     0.641     0.237     0.074     0.055     1.759     0.767     0.638     0.233     0.072     0.051
HUN  1993     1.687     0.711     0.602     0.241     0.076     0.057     1.669     0.709     0.599     0.236     0.073     0.053
HUN  1994     1.642     0.679     0.566     0.257     0.079     0.060     1.624     0.677     0.563     0.251     0.076     0.057
HUN  1995     1.571     0.649     0.551     0.238     0.074     0.060     1.554     0.647     0.548     0.233     0.071     0.055
HUN  1996     1.458     0.623     0.498     0.206     0.070     0.061     1.441     0.621     0.496     0.201     0.067     0.057
HUN  1997     1.377     0.589     0.456     0.199     0.071     0.062     1.360     0.587     0.453     0.194     0.068     0.058
HUN  1998     1.327     0.575     0.441     0.187     0.065     0.057     1.310     0.573     0.438     0.183     0.062     0.053
HUN  1999     1.284     0.565     0.418     0.183     0.063     0.056     1.267     0.563     0.415     0.178     0.060     0.052
HUN  2000     1.321     0.583     0.428     0.189     0.064     0.057     1.303     0.581     0.424     0.184     0.061     0.053
HUN  2001     1.310     0.573     0.417     0.196     0.066     0.058     1.290     0.570     0.414     0.190     0.062     0.054
HUN  2002     1.303     0.582     0.416     0.184     0.064     0.057     1.282     0.579     0.412     0.178     0.061     0.052
HUN  2003     1.272     0.575     0.407     0.178     0.061     0.052     1.251     0.572     0.402     0.172     0.058     0.048
HUN  2004     1.276     0.596     0.401     0.171     0.058     0.051     1.253     0.593     0.396     0.164     0.055     0.046
HUN  2005     1.307     0.610     0.415     0.172     0.059     0.050     1.282     0.607     0.410     0.165     0.055     0.045
HUN  2006     1.340     0.620     0.435     0.175     0.061     0.049     1.315     0.616     0.430     0.168     0.056     0.044
HUN  2007     1.316     0.619     0.425     0.168     0.056     0.049     1.288     0.614     0.419     0.160     0.051     0.043
HUN  2008     1.348     0.639     0.430     0.169     0.060     0.050     1.318     0.634     0.423     0.161     0.055     0.045
HUN  2009     1.322     0.632     0.428     0.160     0.056     0.047     1.290     0.626     0.420     0.151     0.051     0.041
ISL  1990     2.309     0.824     0.704     0.517     0.202     0.062     2.274     0.821     0.696     0.507     0.195     0.054
ISL  1991     2.187     0.778     0.662     0.490     0.194     0.063     2.137     0.776     0.656     0.477     0.181     0.047
ISL  1992     2.211     0.804     0.678     0.483     0.180     0.066     2.161     0.800     0.673     0.472     0.163     0.052
ISL  1993     2.222     0.778     0.726     0.472     0.181     0.065     2.163     0.775     0.718     0.457     0.164     0.049
ISL  1994     2.142     0.772     0.675     0.484     0.155     0.055     2.092     0.767     0.666     0.467     0.146     0.045
ISL  1995     2.078     0.776     0.644     0.469     0.139     0.050     2.034     0.769     0.635     0.455     0.133     0.042
ISL  1996     2.119     0.756     0.729     0.433     0.152     0.049     2.075     0.754     0.717     0.421     0.143     0.040
ISL  1997     2.036     0.798     0.652     0.403     0.145     0.039     1.988     0.789     0.644     0.387     0.136     0.031
ISL  1998     2.046     0.782     0.691     0.387     0.139     0.046     1.992     0.776     0.677     0.378     0.125     0.037
ISL  1999     1.993     0.773     0.669     0.387     0.124     0.040     1.952     0.770     0.658     0.376     0.113     0.034
ISL  2000     2.078     0.847     0.671     0.403     0.126     0.031     2.025     0.843     0.657     0.387     0.115     0.023
ISL  2001     1.952     0.794     0.633     0.375     0.115     0.034     1.901     0.790     0.624     0.360     0.102     0.026
ISL  2002     1.934     0.746     0.692     0.350     0.116     0.031     1.881     0.738     0.681     0.332     0.104     0.025
ISL  2003     1.990     0.792     0.692     0.372     0.103     0.031     1.930     0.785     0.678     0.357     0.089     0.022
ISL  2004     2.039     0.775     0.738     0.397     0.106     0.024     1.981     0.768     0.725     0.377     0.093     0.019
ISL  2005     2.048     0.792     0.736     0.387     0.100     0.033     1.991     0.786     0.720     0.369     0.090     0.025
ISL  2006     2.079     0.834     0.722     0.396     0.095     0.032     2.022     0.827     0.707     0.381     0.085     0.023
ISL  2007     2.088     0.831     0.728     0.394     0.108     0.026     2.032     0.822     0.713     0.378     0.097     0.022
ISL  2008     2.154     0.848     0.751     0.413     0.112     0.029     2.080     0.840     0.728     0.391     0.100     0.021
ISL  2009     2.228     0.874     0.753     0.451     0.124     0.027     2.148     0.860     0.732     0.426     0.111     0.020
ISL  2010     2.198     0.843     0.730     0.478     0.123     0.024     2.124     0.832     0.711     0.450     0.110     0.020
JPN  1968     2.127     0.960     0.843     0.255     0.047     0.021     2.112     0.957     0.840     0.253     0.045     0.017
JPN  1969     2.119     0.936     0.842     0.274     0.048     0.020     2.105     0.933     0.838     0.271     0.046     0.016
JPN  1970     2.129     0.938     0.842     0.283     0.047     0.019     2.115     0.935     0.838     0.280     0.046     0.016
JPN  1971     2.153     0.929     0.860     0.297     0.048     0.018     2.139     0.926     0.857     0.294     0.047     0.015
JPN  1972     2.138     0.934     0.837     0.300     0.049     0.018     2.125     0.931     0.834     0.298     0.047     0.015
JPN  1973     2.135     0.925     0.829     0.310     0.051     0.019     2.121     0.922     0.826     0.308     0.049     0.016
JPN  1974     2.040     0.902     0.793     0.283     0.046     0.016     2.028     0.899     0.790     0.280     0.044     0.014
JPN  1975     1.900     0.855     0.758     0.235     0.037     0.015     1.889     0.853     0.756     0.233     0.036     0.012
